location;new_cases_smoothed;new_deaths_smoothed;reproduction_rate;positive_rate;people_fully_vaccinated_per_hundred;stringency_index
Singapore;30.0;0.0;0.91;;29.25;58.33
Singapore;28.571;0.0;0.91;;29.67;58.33
Singapore;29.143;0.0;0.9;;30.04;58.33
Singapore;29.143;0.143;0.89;;30.36;58.33
Singapore;27.286;0.143;0.87;;30.89;58.33
Singapore;25.571;0.143;0.87;;31.26;58.33
Singapore;26.286;0.143;0.87;;31.46;58.33
Singapore;29.286;0.143;0.85;;31.62;58.33
Singapore;26.857;0.143;0.81;;31.97;58.33
Singapore;24.714;0.143;0.78;;32.4;58.33
Singapore;24.0;0.0;0.76;;32.77;58.33
Singapore;22.714;0.0;0.73;;33.04;58.33
Singapore;21.429;0.143;0.72;;33.33;58.33
Singapore;17.571;0.143;0.72;;33.61;58.33
Singapore;13.0;0.143;0.75;;33.83;58.33
Singapore;12.429;0.143;0.8;;34.17;58.33
Singapore;12.429;0.143;0.85;;34.46;58.33
Singapore;11.429;0.143;0.9;;34.69;58.33
Singapore;13.0;0.143;0.94;;34.92;58.33
Singapore;13.714;0.0;0.96;;35.13;58.33
Singapore;16.571;0.0;0.99;;35.31;58.33
Singapore;18.571;0.0;0.99;;35.46;58.33
Singapore;19.571;0.0;0.98;;35.69;58.33
Singapore;20.0;0.0;0.98;;35.9;58.33
Singapore;19.714;0.0;0.96;;36.03;58.33
Singapore;18.429;0.143;0.96;;36.16;58.33
Singapore;19.0;0.143;0.96;;36.29;58.33
Singapore;18.714;0.143;0.96;;36.4;58.33
Singapore;18.143;0.143;0.96;;36.49;58.33
Singapore;18.714;0.143;0.94;;36.63;58.33
Singapore;18.143;0.286;0.91;;36.74;58.33
Singapore;18.571;0.286;0.88;;36.81;58.33
Singapore;17.571;0.143;0.85;;36.92;54.63
Singapore;16.429;0.143;0.85;;37.01;54.63
Singapore;15.571;0.143;0.85;;37.13;54.63
Singapore;13.714;0.143;0.85;;37.39;54.63
Singapore;12.286;0.143;0.88;;37.69;54.63
Singapore;10.857;0.0;0.91;;37.96;54.63
Singapore;10.429;0.0;0.95;;38.22;54.63
Singapore;11.0;0.0;1.0;;38.48;54.63
Singapore;11.0;0.0;1.05;;38.76;50.93
Singapore;10.429;0.0;1.11;;39.07;50.93
Singapore;11.286;0.0;1.2;;39.41;50.93
Singapore;11.286;0.0;1.28;;39.89;50.93
Singapore;11.143;0.0;1.39;;40.36;50.93
Singapore;10.714;0.0;1.54;;40.86;50.93
Singapore;12.571;0.0;1.72;;41.41;50.93
Singapore;14.857;0.0;1.88;;42.0;50.93
Singapore;21.714;0.0;2.03;;42.7;50.93
Singapore;26.286;0.0;2.1;;43.5;50.93
Singapore;33.571;0.0;2.15;;44.55;50.93
Singapore;42.429;0.0;2.19;;45.58;50.93
Singapore;54.429;0.0;2.22;;46.49;50.93
Singapore;75.286;0.0;2.21;;47.07;49.18
Singapore;99.429;0.0;2.12;;47.11;49.18
